Past1,Past2,Past3,Present
Alleppey,,,Alappuzha
Allahabad,,,Prayagraj
Amin,,,Abhimanyupur
Banaras,,,Varanasi
Bangalore,,,Bengaluru
Baroda,,,Vadodara
Belgaum,,,Belagavi
Bellary,,,Ballari
Bijapur,,,Vijayapura
Calicut,,,Kozhikode
Cannanore,,,Kannur
Chirayinkil,,,Chirayinkeezhu
Chikmagalur,,,Chikkamagaluru
Cochin,,,Kochi
Cuddapah,,,Kadapa
Fort William,,Calcutta,Kolkata
Gauhati,,,Guwahati
Gulbarga,,,Kalburgi
Gurgaon,,,Gurugram
Hospet,,,Hosapete
Hubli,,,Hubballi
Indravati,,Umravti,Amravati
Jajesmow,,,Jajmau
Jubbulpore,,,Jabalpur
Jeypore,,,Jaipur
Kanhiyapur,,Cawnpore,Kanpur
Karnavati,,,Ahmedabad
Kattachakonam,,,Kesavadasapuram
Lakshmanpuri,Lakhanpur,Lakhnau,Lucknow
Madras,,,Chennai
Mangalore,,,Mangaluru
Mapu�a,,,Mapusa
Mumba,Boa Baia,Bombay,Mumbai
Mustafabad,,,Saraswati Nagar
Mysore,,,Mysuru
New Bombay,,,Navi Mumbai
New Raipur,,,Atal Nagar
Ootacamund,,,Udhagamandalam
Orissa,,,Odisha
Palghat,,,Palakkad
Panjim,,,Panaji
Pataliputra,,,Patna
Pondicherry,,,Puducherry
Poona,,,Pune
Purana Qila,Shahjahanabad,,Delhi
Quilon,,,Kollam
Rajahmundry,,,Rajamahendravaram
Ratnapur,,,Latur
Saket,,,Ayodhya
Shimoga,,,Shivamogga
Tanjore,,,Thanjavur
Thirusirappalli,Trichinopoly,Trichy,Tiruchirappalli
Thrishivaperur,Trichur,,Thrissur
Trivandrum,,,Thiruvananthapuram
Tumkur,,,Tumakuru
Vizagapatam,,,Visakhapatnam
Wheeler Island,,,Abdul Kalam Island
